Method,Precision@5,Recall@5,MAP,nDCG@5,Mean_Satisfaction,Mean_Revenue,Run
IMOHAG (HASMO),0.6433333333333333,0.1866391806389619,0.6021601376292699,0.6517629400426448,0.804924833660284,89.11427101440029,14
Random,0.41833333333333333,0.11878871568554736,0.4803522435098871,0.42422130769611055,0.4870855069600544,81.29623473144947,15
Relevance-Only,0.6283333333333334,0.18434380579177714,0.5964512479203876,0.6282233799610827,0.6379135101742315,80.17088816814142,15
Revenue-Driven,0.44000000000000006,0.12587405911848132,0.4679232244309277,0.3972126902507281,0.39951089762300424,147.89368461516366,15
Static-Weighted-Sum,0.62,0.1805978981442256,0.5872241167810839,0.6285415675430982,0.783173876580068,80.06630032138104,15
Popularity-Based,0.47833333333333333,0.13762594105334547,0.48625051684441206,0.47302894546623114,0.5482887328459285,82.87765395584448,15
Content-Based,0.5133333333333333,0.1495204863027613,0.5381666488803665,0.4940914392577202,0.5481241043231564,71.44461948084478,15
IMOHAG (HASMO),0.6066666666666667,0.1764226845029415,0.5865850648027947,0.6200945149302495,0.7835780243553049,90.80981737981475,15
Random,0.38833333333333336,0.1192171785186491,0.4414413508277869,0.38711393547140127,0.4456693566645098,79.93779522940082,16
Relevance-Only,0.5533333333333333,0.17500125626867113,0.5494407447324074,0.5540470736244385,0.5655073615041697,83.38470677280736,16
Revenue-Driven,0.42833333333333334,0.13303235789981147,0.4586665617100066,0.4076300606341246,0.40022628695339435,170.9070107885096,16
Static-Weighted-Sum,0.55,0.17361237507619087,0.5446687511705048,0.5558953604123187,0.7295219518201731,85.94796322589895,16
Popularity-Based,0.325,0.0984565162506339,0.42930916031674243,0.3261300691185827,0.4033129912755301,84.61381397303064,16
Content-Based,0.5483333333333333,0.17216773329582927,0.5361482257646556,0.5547766693306599,0.5237262370492866,84.93705065134377,16
IMOHAG (HASMO),0.545,0.17286559054264164,0.5423542779217772,0.5531030235982984,0.735335123888914,91.89436744176044,16
Random,0.38666666666666666,0.12213043256193411,0.4356711274887418,0.389001251370289,0.4215058813072775,85.20848482429251,17
Relevance-Only,0.5700000000000001,0.18434639534871733,0.5538348912932674,0.5829384117800418,0.6077394137202142,82.36127223885595,17
Revenue-Driven,0.3766666666666667,0.11873790561290562,0.4456766291355265,0.37309810289502676,0.4263772297010094,204.64770507606724,17
Static-Weighted-Sum,0.5783333333333334,0.18424014499575644,0.5557732217069834,0.5934783376348101,0.753844284483215,80.66967366012635,17
Popularity-Based,0.465,0.14726936988450146,0.4575410688370729,0.4388031190802509,0.4495227692127399,82.9931442222201,17
Content-Based,0.5116666666666666,0.1654232241142071,0.5117118061021695,0.5117672996103627,0.49172144505621257,78.87192002090119,17
IMOHAG (HASMO),0.5716666666666667,0.18257638954039881,0.5508696466986273,0.5829800622971921,0.7590196700636879,91.51127161994125,17
Random,0.4266666666666667,0.12433351166651409,0.47109779663038104,0.4267212876173281,0.4532244766597038,90.96672761262873,18
Relevance-Only,0.635,0.19000359180853693,0.6035892875276936,0.6480960590922584,0.6754146083278854,100.70292215226844,18
Revenue-Driven,0.45,0.13386330761975193,0.4896173715498302,0.4601274286900305,0.49179217334068837,166.11594632704504,18
Static-Weighted-Sum,0.6133333333333334,0.18375674595429947,0.6036190412031155,0.6443574750516767,0.8221400400518081,109.73431712803509,18
Popularity-Based,0.4766666666666667,0.14089001683905103,0.4790042280330668,0.48683003986307116,0.5469328981743447,100.87838730955258,18
Content-Based,0.5283333333333333,0.15891069515597547,0.5344118793579864,0.5166869454968096,0.5153999129258586,100.88747518720098,18
IMOHAG (HASMO),0.6266666666666667,0.18863954153562446,0.6039076501190686,0.6528902400819304,0.821115172686776,112.34695639906633,18
Random,0.4316666666666667,0.12060202263302798,0.49148331487439106,0.42595579564339964,0.4709101501489034,86.60367523716612,19
Relevance-Only,0.6283333333333334,0.17731158647035128,0.6033906635635164,0.6371571921907399,0.6434221623900311,89.93859925596678,19
Revenue-Driven,0.36500000000000005,0.10216401079285009,0.48247009687617926,0.4037542033863121,0.5128067180499033,178.61361412500153,19
Static-Weighted-Sum,0.6283333333333334,0.17745755226322746,0.6035596841066574,0.6355485348123951,0.7718610771788788,88.64813917008958,19
Popularity-Based,0.455,0.12658337893183952,0.4924786661555416,0.4347901932670593,0.4711226963156564,79.87547596719139,19
Content-Based,0.5366666666666667,0.151273645802343,0.5583569510072011,0.5234862358755629,0.5378358751020171,92.24764930796287,19
IMOHAG (HASMO),0.6333333333333333,0.17855202598166636,0.6035049035079195,0.6491477084763009,0.7818223577395953,99.82139917910634,19
Random,0.43333333333333335,0.1257218547777758,0.48156192634988304,0.4257889074637043,0.46381738123005467,76.19195558815998,20
Relevance-Only,0.6083333333333333,0.17864209166640796,0.5813684910554717,0.6132708485749852,0.6115149963853832,68.60664129216343,20
Revenue-Driven,0.37333333333333335,0.10866414695078266,0.4662668558494332,0.3850749016889707,0.48240483115002447,156.61038721259322,20
Static-Weighted-Sum,0.5916666666666667,0.17374076033376856,0.5760397617934859,0.6009593017915348,0.7696034974264178,70.06256970972645,20
Popularity-Based,0.425,0.12282232895100541,0.490675401405869,0.4225650841775424,0.47574466670205345,73.79485618391266,20
Content-Based,0.5116666666666666,0.15069543895885484,0.5458371435180278,0.5144367363083654,0.5071014868907695,79.87506289872482,20
IMOHAG (HASMO),0.5733333333333334,0.16870874409722447,0.5731536299789518,0.5853023459725002,0.7707542859258777,76.51837272517321,20
Random,0.4066666666666666,0.12121794121142115,0.4658105469863814,0.41877463636816187,0.4690863065156781,91.8646047160822,21
